Cycle,Location,Z_stack,Channel,Marker,Path
Cycle1,1,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z001_CH1.tif
Cycle1,1,1,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z001_CH3.tif
Cycle1,1,1,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z001_CH4.tif
Cycle1,1,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z002_CH1.tif
Cycle1,1,2,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z002_CH3.tif
Cycle1,1,2,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z002_CH4.tif
Cycle1,1,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z003_CH1.tif
Cycle1,1,3,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z003_CH3.tif
Cycle1,1,3,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z003_CH4.tif
Cycle1,1,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z004_CH1.tif
Cycle1,1,4,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z004_CH3.tif
Cycle1,1,4,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z004_CH4.tif
Cycle1,1,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z005_CH1.tif
Cycle1,1,5,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z005_CH3.tif
Cycle1,1,5,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z005_CH4.tif
Cycle1,1,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z006_CH1.tif
Cycle1,1,6,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z006_CH3.tif
Cycle1,1,6,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z006_CH4.tif
Cycle1,1,7,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z007_CH1.tif
Cycle1,1,7,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z007_CH3.tif
Cycle1,1,7,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z007_CH4.tif
Cycle1,1,8,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z008_CH1.tif
Cycle1,1,8,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z008_CH3.tif
Cycle1,1,8,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z008_CH4.tif
Cycle1,1,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z009_CH1.tif
Cycle1,1,9,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z009_CH3.tif
Cycle1,1,9,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z009_CH4.tif
Cycle1,1,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z010_CH1.tif
Cycle1,1,10,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z010_CH3.tif
Cycle1,1,10,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z010_CH4.tif
Cycle1,2,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z001_CH1.tif
Cycle1,2,1,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z001_CH3.tif
Cycle1,2,1,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z001_CH4.tif
Cycle1,2,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z002_CH1.tif
Cycle1,2,2,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z002_CH3.tif
Cycle1,2,2,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z002_CH4.tif
Cycle1,2,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z003_CH1.tif
Cycle1,2,3,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z003_CH3.tif
Cycle1,2,3,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z003_CH4.tif
Cycle1,2,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z004_CH1.tif
Cycle1,2,4,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z004_CH3.tif
Cycle1,2,4,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z004_CH4.tif
Cycle1,2,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z005_CH1.tif
Cycle1,2,5,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z005_CH3.tif
Cycle1,2,5,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z005_CH4.tif
Cycle1,2,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z006_CH1.tif
Cycle1,2,6,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z006_CH3.tif
Cycle1,2,6,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z006_CH4.tif
Cycle1,3,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z001_CH1.tif
Cycle1,3,1,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z001_CH3.tif
Cycle1,3,1,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z001_CH4.tif
Cycle1,3,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z002_CH1.tif
Cycle1,3,2,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z002_CH3.tif
Cycle1,3,2,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z002_CH4.tif
Cycle1,3,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z003_CH1.tif
Cycle1,3,3,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z003_CH3.tif
Cycle1,3,3,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z003_CH4.tif
Cycle1,3,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z004_CH1.tif
Cycle1,3,4,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z004_CH3.tif
Cycle1,3,4,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z004_CH4.tif
Cycle1,3,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z005_CH1.tif
Cycle1,3,5,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z005_CH3.tif
Cycle1,3,5,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z005_CH4.tif
Cycle1,3,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z006_CH1.tif
Cycle1,3,6,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z006_CH3.tif
Cycle1,3,6,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z006_CH4.tif
Cycle1,3,7,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z007_CH1.tif
Cycle1,3,7,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z007_CH3.tif
Cycle1,3,7,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z007_CH4.tif
Cycle1,3,8,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z008_CH1.tif
Cycle1,3,8,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z008_CH3.tif
Cycle1,3,8,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z008_CH4.tif
Cycle1,3,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z009_CH1.tif
Cycle1,3,9,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z009_CH3.tif
Cycle1,3,9,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z009_CH4.tif
Cycle1,3,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z010_CH1.tif
Cycle1,3,10,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z010_CH3.tif
Cycle1,3,10,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z010_CH4.tif
Cycle2,1,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z001_CH1.tif
Cycle2,1,1,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z001_CH2.tif
Cycle2,1,1,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z001_CH3.tif
Cycle2,1,1,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z001_CH4.tif
Cycle2,1,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z002_CH1.tif
Cycle2,1,2,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z002_CH2.tif
Cycle2,1,2,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z002_CH3.tif
Cycle2,1,2,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z002_CH4.tif
Cycle2,1,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z003_CH1.tif
Cycle2,1,3,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z003_CH2.tif
Cycle2,1,3,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z003_CH3.tif
Cycle2,1,3,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z003_CH4.tif
Cycle2,1,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z004_CH1.tif
Cycle2,1,4,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z004_CH2.tif
Cycle2,1,4,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z004_CH3.tif
Cycle2,1,4,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z004_CH4.tif
Cycle2,1,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z005_CH1.tif
Cycle2,1,5,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z005_CH2.tif
Cycle2,1,5,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z005_CH3.tif
Cycle2,1,5,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z005_CH4.tif
Cycle2,1,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z006_CH1.tif
Cycle2,1,6,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z006_CH2.tif
Cycle2,1,6,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z006_CH3.tif
Cycle2,1,6,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z006_CH4.tif
Cycle2,2,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z001_CH1.tif
Cycle2,2,1,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z001_CH2.tif
Cycle2,2,1,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z001_CH3.tif
Cycle2,2,1,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z001_CH4.tif
Cycle2,2,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z002_CH1.tif
Cycle2,2,2,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z002_CH2.tif
Cycle2,2,2,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z002_CH3.tif
Cycle2,2,2,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z002_CH4.tif
Cycle2,2,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z003_CH1.tif
Cycle2,2,3,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z003_CH2.tif
Cycle2,2,3,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z003_CH3.tif
Cycle2,2,3,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z003_CH4.tif
Cycle2,2,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z004_CH1.tif
Cycle2,2,4,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z004_CH2.tif
Cycle2,2,4,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z004_CH3.tif
Cycle2,2,4,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z004_CH4.tif
Cycle2,2,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z005_CH1.tif
Cycle2,2,5,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z005_CH2.tif
Cycle2,2,5,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z005_CH3.tif
Cycle2,2,5,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z005_CH4.tif
Cycle2,2,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z006_CH1.tif
Cycle2,2,6,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw2\1_00001_Z006_CH2.tif
