Cycle,Location,Z_stack,Channel,Marker,Path
Cycle3,3,5,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z005_CH2.tif
Cycle3,3,5,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z005_CH3.tif
Cycle3,3,5,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z005_CH4.tif
Cycle3,3,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z006_CH1.tif
Cycle3,3,6,CH2,Non-phospho-B-catenin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z006_CH2.tif
Cycle3,3,6,CH3,APC,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z006_CH3.tif
Cycle3,3,6,CH4,DKK1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle3_40x_1215_Fw3\1_00001_Z006_CH4.tif
Cycle4,1,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z001_CH1.tif
Cycle4,1,1,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z001_CH2.tif
Cycle4,1,1,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z001_CH3.tif
Cycle4,1,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z002_CH1.tif
Cycle4,1,2,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z002_CH2.tif
Cycle4,1,2,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z002_CH3.tif
Cycle4,1,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z003_CH1.tif
Cycle4,1,3,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z003_CH2.tif
Cycle4,1,3,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z003_CH3.tif
Cycle4,1,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z004_CH1.tif
Cycle4,1,4,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z004_CH2.tif
Cycle4,1,4,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z004_CH3.tif
Cycle4,1,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z005_CH1.tif
Cycle4,1,5,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z005_CH2.tif
Cycle4,1,5,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z005_CH3.tif
Cycle4,1,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z006_CH1.tif
Cycle4,1,6,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z006_CH2.tif
Cycle4,1,6,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z006_CH3.tif
Cycle4,1,7,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z007_CH1.tif
Cycle4,1,7,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z007_CH2.tif
Cycle4,1,7,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z007_CH3.tif
Cycle4,1,8,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z008_CH1.tif
Cycle4,1,8,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z008_CH2.tif
Cycle4,1,8,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z008_CH3.tif
Cycle4,1,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z009_CH1.tif
Cycle4,1,9,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z009_CH2.tif
Cycle4,1,9,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z009_CH3.tif
Cycle4,1,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z010_CH1.tif
Cycle4,1,10,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z010_CH2.tif
Cycle4,1,10,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw1\1_00001_Z010_CH3.tif
Cycle4,2,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z001_CH1.tif
Cycle4,2,1,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z001_CH2.tif
Cycle4,2,1,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z001_CH3.tif
Cycle4,2,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z002_CH1.tif
Cycle4,2,2,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z002_CH2.tif
Cycle4,2,2,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z002_CH3.tif
Cycle4,2,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z003_CH1.tif
Cycle4,2,3,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z003_CH2.tif
Cycle4,2,3,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z003_CH3.tif
Cycle4,2,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z004_CH1.tif
Cycle4,2,4,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z004_CH2.tif
Cycle4,2,4,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z004_CH3.tif
Cycle4,2,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z005_CH1.tif
Cycle4,2,5,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z005_CH2.tif
Cycle4,2,5,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z005_CH3.tif
Cycle4,2,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z006_CH1.tif
Cycle4,2,6,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z006_CH2.tif
Cycle4,2,6,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z006_CH3.tif
Cycle4,2,7,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z007_CH1.tif
Cycle4,2,7,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z007_CH2.tif
Cycle4,2,7,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z007_CH3.tif
Cycle4,2,8,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z008_CH1.tif
Cycle4,2,8,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z008_CH2.tif
Cycle4,2,8,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z008_CH3.tif
Cycle4,2,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z009_CH1.tif
Cycle4,2,9,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z009_CH2.tif
Cycle4,2,9,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z009_CH3.tif
Cycle4,2,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z010_CH1.tif
Cycle4,2,10,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z010_CH2.tif
Cycle4,2,10,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw2\1_00001_Z010_CH3.tif
Cycle4,3,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z001_CH1.tif
Cycle4,3,1,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z001_CH2.tif
Cycle4,3,1,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z001_CH3.tif
Cycle4,3,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z002_CH1.tif
Cycle4,3,2,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z002_CH2.tif
Cycle4,3,2,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z002_CH3.tif
Cycle4,3,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z003_CH1.tif
Cycle4,3,3,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z003_CH2.tif
Cycle4,3,3,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z003_CH3.tif
Cycle4,3,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z004_CH1.tif
Cycle4,3,4,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z004_CH2.tif
Cycle4,3,4,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z004_CH3.tif
Cycle4,3,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z005_CH1.tif
Cycle4,3,5,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z005_CH2.tif
Cycle4,3,5,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z005_CH3.tif
Cycle4,3,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z006_CH1.tif
Cycle4,3,6,CH2,DKK2,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z006_CH2.tif
Cycle4,3,6,CH3,AXIN1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle4_40x_1215_Fw3\1_00001_Z006_CH3.tif
Cycle5,1,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z001_CH1.tif
Cycle5,1,1,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z001_CH3.tif
Cycle5,1,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z002_CH1.tif
Cycle5,1,2,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z002_CH3.tif
Cycle5,1,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z003_CH1.tif
Cycle5,1,3,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z003_CH3.tif
Cycle5,1,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z004_CH1.tif
Cycle5,1,4,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z004_CH3.tif
Cycle5,1,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z005_CH1.tif
Cycle5,1,5,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z005_CH3.tif
Cycle5,1,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z006_CH1.tif
Cycle5,1,6,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z006_CH3.tif
Cycle5,1,7,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z007_CH1.tif
Cycle5,1,7,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z007_CH3.tif
Cycle5,1,8,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z008_CH1.tif
Cycle5,1,8,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z008_CH3.tif
Cycle5,1,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z009_CH1.tif
Cycle5,1,9,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z009_CH3.tif
Cycle5,1,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z010_CH1.tif
Cycle5,1,10,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw1\1_00001_Z010_CH3.tif
Cycle5,2,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z001_CH1.tif
Cycle5,2,1,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z001_CH3.tif
Cycle5,2,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z002_CH1.tif
Cycle5,2,2,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z002_CH3.tif
Cycle5,2,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z003_CH1.tif
Cycle5,2,3,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z003_CH3.tif
Cycle5,2,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z004_CH1.tif
Cycle5,2,4,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z004_CH3.tif
Cycle5,2,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z005_CH1.tif
Cycle5,2,5,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z005_CH3.tif
Cycle5,2,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z006_CH1.tif
Cycle5,2,6,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z006_CH3.tif
Cycle5,2,7,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z007_CH1.tif
Cycle5,2,7,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z007_CH3.tif
Cycle5,2,8,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z008_CH1.tif
Cycle5,2,8,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z008_CH3.tif
Cycle5,2,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z009_CH1.tif
Cycle5,2,9,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z009_CH3.tif
Cycle5,2,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z010_CH1.tif
Cycle5,2,10,CH3,Cyclin D1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle5_40x_1216_Fw2\1_00001_Z010_CH3.tif
